	idfunctie	periode	functie	volgnummer	lokaal	id	old_idfunctie	old_id
54	139	2	consul de France à Rotterdam	0	0	0	batfra_139	batfra_0
55	140	2	vice-consul de France à Hellevoetsluis	0	0	0	batfra_140	batfra_0
56	148	2	archiviste	0	0	0	batfra_148	batfra_0
57	155	2	maître des Requêtes au Conseil d' État en service extraordinaire	0	0	0	batfra_155	batfra_0
58	157	2	directeur principal des douanes en Hollande, à Amsterdam	0	0	0	batfra_157	batfra_0
59	159	2	auditeur de la première classe	0	0	0	batfra_159	batfra_0
60	160	2	auditeur de la deuxième classe	0	0	0	batfra_160	batfra_0
61	161	2	auditeur de la troisième classe	0	0	0	batfra_161	batfra_0
62	162	2	auditeur en service extraordinaire	0	0	0	batfra_162	batfra_0
63	164	2	secrétaire-géneral	0	0	0	batfra_164	batfra_0
64	165	2	membre	0	0	0	batfra_165	batfra_0
65	168	2	sous-chef division du Nord	0	0	0	batfra_168	batfra_0
66	169	2	membre du Conseil Général de Commerce	0	0	0	batfra_169	batfra_0
67	172	2	inspecteur-général des Ponts et Chaussées	0	0	0	batfra_172	batfra_0
68	184	2	inspecteur-général des Côtes de la Mer du Nord	0	0	0	batfra_184	batfra_0
69	185	2	vice-amiral	0	0	0	batfra_185	batfra_0
70	186	2	contre-amiral de la Marine Impériale	0	0	0	batfra_186	batfra_0
71	187	2	chef militaire du port à Amsterdam	0	0	0	batfra_187	batfra_0
72	188	2	chef militaire du port à Rotterdam	0	0	0	batfra_188	batfra_0
73	189	2	inspecteur de la marine à Amsterdam	0	0	0	batfra_189	batfra_0
74	190	2	sous-inspecteur de première classe de la Marine à Rotterdam	0	0	0	batfra_190	batfra_0
75	191	2	sous-inspecteur de seconde classe de la Marine à Amsterdam	0	0	0	batfra_191	batfra_0
76	192	2	directeur d' équipement dans l' arrondissement maritime de Hollande	0	0	0	batfra_192	batfra_0
77	204	2	advocaat-fiscaal-generaal	0	0	0	batfra_204	batfra_0
78	208	2	archivist	0	0	0	batfra_208	batfra_0
79	212	2	directeur particulier des douanes à  Amsterdam	0	0	0	batfra_212	batfra_0
80	214	2	directeur particulier des douanes à Dokkum	0	0	0	batfra_214	batfra_0
81	215	2	directeur particulier des douanes à  Emden	0	0	0	batfra_215	batfra_0
82	217	2	président	0	0	0	batfra_217	batfra_0
83	218	2	maître des requêtes directeur des polders	0	0	0	batfra_218	batfra_0
84	222	2	sénateur	0	0	0	batfra_222	batfra_0
85	225	2	référendaire de la seconde classe	0	0	0	batfra_225	batfra_0
86	226	2	directeur des Ponts et Chaussées en Hollande	0	0	0	batfra_226	batfra_0
87	227	2	ingénieur en chef des Ponts et Chaussées	0	0	0	batfra_227	batfra_0
88	229	2	inspecteur de l' imprimerie et de la librairie	0	0	0	batfra_229	batfra_0
89	231	2	commissaire-vérificateur à l' Estampille	0	0	0	batfra_231	batfra_0
90	232	2	commissaire des poudreries à Amsterdam	0	0	0	batfra_232	batfra_0
91	233	2	inspecteur-général du Service de Santé des Armées	0	0	0	batfra_233	batfra_0
92	238	2	commissaire spécial de la police	0	0	0	batfra_238	batfra_0
93	245	2	eerste voorzitter van het Hof van Rekeningen van het Koninkrijk Holland	0	0	0	batfra_245	batfra_0
94	246	2	voorzitter	0	0	0	batfra_246	batfra_0
95	247	2	directeur van de publieke domeinen en de geestelijke goederen	0	0	0	batfra_247	batfra_0
96	250	2	général de division, commandant de la trente-unième division	0	0	0	batfra_250	batfra_0
97	251	2	inspecteur des 32e et 33e légions de la Gendarmerie impériale à Amsterdam	0	0	0	batfra_251	batfra_0
98	273	2	maire van Rotterdam	0	0	0	batfra_273	batfra_0
99	275	2	sous-préfet	0	0	0	batfra_275	batfra_0
100	280	2	procureur-général-impérial à La Haye	0	0	0	batfra_280	batfra_0
101	282	2	conservateur des forêts à Amsterdam	0	0	0	batfra_282	batfra_0
102	283	2	commissaire impérial Monnaie d' Utrecht	0	0	0	batfra_283	batfra_0
103	287	2	recteur de l' Académie de Groningue	0	0	0	batfra_287	batfra_0
104	288	2	recteur de l' Académie de Leyde	0	0	0	batfra_288	batfra_0
105	289	2	gouverneur	0	0	0	batfra_289	batfra_0
106	290	2	keizerin van Frankrijk	0	0	0	batfra_290	batfra_0
107	295	2	algemeen secretaris	0	0	0	batfra_295	batfra_0
108	303	2	secretaris	0	0	0	batfra_303	batfra_0
109	304	2	thesaurier-generaal	0	0	0	batfra_304	batfra_0
110	307	2	raad	0	0	0	batfra_307	batfra_0
111	311	2	archivarius	0	0	0	batfra_311	batfra_0
112	321	2	procureur-generaal	0	0	0	batfra_321	batfra_0
113	326	2	commissaris	0	0	0	batfra_326	batfra_0
114	330	2	advocaat-fiscaal over de militie	0	0	0	batfra_330	batfra_0
115	332	2	advocaat-fiscaal over de zeemacht	0	0	0	batfra_332	batfra_0
116	335	2	essayeur-generaal	0	0	0	batfra_335	batfra_0
117	336	2	commissaris tot de Gecedeerde Landen aan de Bataafse Republiek	0	0	0	batfra_336	batfra_0
118	338	2	lid	0	0	0	batfra_338	batfra_0
119	342	2	algemene secretaris van staat	0	0	0	batfra_342	batfra_0
120	343	2	griffier	0	0	0	batfra_343	batfra_0
121	348	2	commissaris tot de zaken van de geneeskundige staatsregeling	0	0	0	batfra_348	batfra_0
122	355	2	kapitein-generaal van de jacht	0	0	0	batfra_355	batfra_0
123	356	2	opperjagermeester	0	0	0	batfra_356	batfra_0
124	358	2	particulier secretaris van Lodewijk Napoleon	0	0	0	batfra_358	batfra_0
125	360	2	secretaris politieke correspondentie (secrétaire des commandements)	0	0	0	batfra_360	batfra_0
126	361	2	secretaris van Staat	0	0	0	batfra_361	batfra_0
127	374	2	grootkamerheer	0	0	0	batfra_374	batfra_0
128	375	2	grootmaarschalk van het Paleis	0	0	0	batfra_375	batfra_0
129	376	2	grootceremoniemeester	0	0	0	batfra_376	batfra_0
130	377	2	waarnemend secretaris van staat	0	0	0	batfra_377	batfra_0
131	378	2	thesaurier-generaal van de kroon	0	0	0	batfra_378	batfra_0
132	379	2	betaalmeester van oorlog	0	0	0	batfra_379	batfra_0
133	380	2	betaalmeester te velde	0	0	0	batfra_380	batfra_0
134	381	2	directeur van de administratie van oorlog	0	0	0	batfra_381	batfra_0
135	382	2	grootmeester	0	0	0	batfra_382	batfra_0
136	384	2	groot-kanselier	0	0	0	batfra_384	batfra_0
137	385	2	groot-thesaurier	0	0	0	batfra_385	batfra_0
138	387	2	secretaris-generaal	0	0	0	batfra_387	batfra_0
139	391	2	eerste president van de staatsraad	0	0	0	batfra_391	batfra_0
140	395	2	landdrost	0	0	0	batfra_395	batfra_0
141	403	2	commissaris-generaal voor de koloniën	0	0	0	batfra_403	batfra_0
142	409	2	inspecteur en essayeur-generaal van de munt en van goud- en zilverwerken	0	0	0	batfra_409	batfra_0
143	412	2	maire van Utrecht	0	0	0	batfra_412	batfra_0
144	413	2	commissaris-generaal voor het geneeskundige	0	0	0	batfra_413	batfra_0
145	414	2	ontvanger-generaal	0	0	0	batfra_414	batfra_0
146	416	2	archivist-directeur van de plannen	0	0	0	batfra_416	batfra_0
147	417	2	algemeen geheimschrijver	0	0	0	batfra_417	batfra_0
148	419	2	zaakverzorger des Konings bij het Hof van Rekening	0	0	0	batfra_419	batfra_0
149	424	2	waarnemend Voorzitter	0	0	0	batfra_424	batfra_0
150	427	2	secretaris-archivist	0	0	0	batfra_427	batfra_0
151	429	2	provisioneel secretaris-generaal	0	0	0	batfra_429	batfra_0
152	432	2	commissaris tot de zaken van het fabriekswezen	0	0	0	batfra_432	batfra_0
153	436	2	commissaire général de l' agriculture	0	0	0	batfra_436	batfra_0
154	439	2	directeur van de militaire archieven, plans en kaarten	0	0	0	batfra_439	batfra_0
155	440	2	eerste aalmoezenier van de koning	0	0	0	batfra_440	batfra_0
156	451	2	redenaar	0	0	0	batfra_451	batfra_0
157	453	2	hoofd-administrateur van het mortificatiefonds	0	0	0	batfra_453	batfra_0
158	479	2	administrateur van het kohier der verpondingen	0	0	0	batfra_479	batfra_0
159	482	2	secretaris en lid van het Comité Centraal van Marine en Waterstaat	0	0	0	batfra_482	batfra_0
160	483	2	gouverneur-generaal	0	0	0	batfra_483	batfra_0
161	484	2	inspecteur en chef de la Loterie à Amsterdam	0	0	0	batfra_484	batfra_0
162	486	2	lid van het Comité Centraal van Marine en Koloniën	0	0	0	batfra_486	batfra_0
163	487	2	président du Conseil	0	0	0	batfra_487	batfra_0
164	488	2	président de la section de Cassation Criminelle	0	0	0	batfra_488	batfra_0
165	489	2	chef de la division du Nord	0	0	0	batfra_489	batfra_0
166	491	2	inspecteur-generaal	0	0	0	batfra_491	batfra_0
167	492	2	ontvanger-generaal van de administratie te lande	0	0	0	batfra_492	batfra_0
168	493	2	gouverneur-generaal van Oost-Friesland	0	0	0	batfra_493	batfra_0
169	494	2	representant	0	0	0	batfra_494	batfra_0
170	496	2	chef	0	0	0	batfra_496	batfra_0
171	497	2	president van de commissie van superintendentie tot de zaken van de Verpondingen	0	0	0	batfra_497	batfra_0
172	499	2	directeur-generaal van het geneeskundig Bestuur van de Armée	0	0	0	batfra_499	batfra_0
173	500	2	secretaris van het departement	0	0	0	batfra_500	batfra_0
174	501	2	ministre secrétaire d' État	0	0	0	batfra_501	batfra_0
175	502	2	secretaris der wetenschappen en kunsten	0	0	0	batfra_502	batfra_0
176	503	2	commissaire-général de la police	0	0	0	batfra_503	batfra_0
177	504	2	raadsheer	0	0	0	batfra_504	batfra_0
178	505	2	waardijn	0	0	0	batfra_505	batfra_0
179	506	2	directeur de la Monnaie d' Utrecht	0	0	0	batfra_506	batfra_0
180	507	2	lid van de raad van administratie over de Waterstaat	0	0	0	batfra_507	batfra_0
181	509	2	chef de bureau	0	0	0	batfra_509	batfra_0
182	510	2	intendant-général	0	0	0	batfra_510	batfra_0
183	511	2	président de la section des requêtes	0	0	0	batfra_511	batfra_0
184	512	2	gouverneur van Kaap de Goede Hoop	0	0	0	batfra_512	batfra_0
185	513	2	lid van de commissie van superintendentie tot de zaken van de verpondingen	0	0	0	batfra_513	batfra_0
186	515	2	secrétaire-général de la préfecture	0	0	0	batfra_515	batfra_0
187	516	2	directeur van de middelen te water	0	0	0	batfra_516	batfra_0
188	517	2	directeur-generaal van de middelen te water	0	0	0	batfra_517	batfra_0
189	518	2	secretaris van de commissie van superintendentie tot de zaken van de verpondingen	0	0	0	batfra_518	batfra_0
190	519	2	secretaris-generaal van het Kohier van de Verponding	0	0	0	batfra_519	batfra_0
191	521	2	grand Chambellan	0	0	0	batfra_521	batfra_0
192	522	2	secrétaire du Cabinet de l' Empereur	0	0	0	batfra_522	batfra_0
193	523	2	président de la section de cassation civile	0	0	0	batfra_523	batfra_0
194	524	2	president van het kohier van de verponding	0	0	0	batfra_524	batfra_0
195	525	2	lid (in gewone dienst)	0	0	0	batfra_525	batfra_0
196	526	2	substituut-secretaris	0	0	0	batfra_526	batfra_0
197	527	2	président de la section de l' Intérieur	0	0	0	batfra_527	batfra_0
198	528	2	ministre (grand juge)	0	0	0	batfra_528	batfra_0
199	529	2	préfet maritime de Hollande	0	0	0	batfra_529	batfra_0
200	530	2	secretaris van het commandement van het Gouvernement van Holland	0	0	0	batfra_530	batfra_0
201	532	2	secretaris-generaal van de algemene directie van de Waterstaat	0	0	0	batfra_532	batfra_0
202	533	2	controleur van de gebouwen in de residentie	0	0	0	batfra_533	batfra_0
203	534	2	commies van de Controleur van de gebouwen in de residentie	0	0	0	batfra_534	batfra_0
204	535	2	controleur van de Koninklijke gebouwen binnen Utrecht	0	0	0	batfra_535	batfra_0
205	539	2	substituut-griffier	0	0	0	batfra_539	batfra_0
206	540	2	raad-auditeur	0	0	0	batfra_540	batfra_0
207	541	2	advocat-général	0	0	0	batfra_541	batfra_0
208	542	2	commies-griffier	0	0	0	batfra_542	batfra_0
209	543	2	conseiller de préfecture	0	0	0	batfra_543	batfra_0
210	544	2	assessor	0	0	0	batfra_544	batfra_0
211	545	2	secretaris ad interim der Financie	0	0	0	batfra_545	batfra_0
212	546	2	kwartierdrost (drost)	0	0	0	batfra_546	batfra_0
213	547	2	commies	0	0	0	batfra_547	batfra_0
214	548	2	momber (Procureur-generaal)	0	0	0	batfra_548	batfra_0
215	551	2	commissielid	0	0	0	batfra_551	batfra_0
216	552	2	toegevoegd commies	0	0	0	batfra_552	batfra_0
217	553	2	membre du Conseil général	0	0	0	batfra_553	batfra_0
218	554	2	advocaat-fiscaal	0	0	0	batfra_554	batfra_0
219	555	2	eerste griffier	0	0	0	batfra_555	batfra_0
220	556	2	tweede griffier	0	0	0	batfra_556	batfra_0
221	557	2	substituut-momber	0	0	0	batfra_557	batfra_0
222	559	2	sous-chef	0	0	0	batfra_559	batfra_0
223	560	2	provisioneel secretaris	0	0	0	batfra_560	batfra_0
224	561	2	klerk	0	0	0	batfra_561	batfra_0
225	562	2	provisioneel minister	0	0	0	batfra_562	batfra_0
226	564	2	chef de bureau	0	0	0	batfra_564	batfra_0
227	565	2	tweede commies	0	0	0	batfra_565	batfra_0
228	566	2	indexmaker	0	0	0	batfra_566	batfra_0
229	567	2	eerste commies	0	0	0	batfra_567	batfra_0
230	568	2	commies expediteur	0	0	0	batfra_568	batfra_0
