	idcollege	periode	college	volgnummerbasiscollege	basis	id	old_idcollege	old_id
238	342	2	Departementaal Gerechtshof van Holland (1803-1811)	0.0	0	0	batfra_342	batfra_0
239	343	2	Departementaal Gerechtshof van Zeeland (1803-1811)	0.0	0	0	batfra_343	batfra_0
240	344	2	Departementaal Gerechtshof van Utrecht (1802-1811)	0.0	0	0	batfra_344	batfra_0
241	345	2	Representanten van het volk van Stad en Lande	0.0	0	0	batfra_345	batfra_0
242	346	2	Provisionele Representanten van het Volk van Friesland	0.0	0	0	batfra_346	batfra_0
243	347	2	Provisionele Representanten van het Volk van Drenthe	0.0	0	0	batfra_347	batfra_0
244	348	2	Representanten van het volk van Drenthe	0.0	0	0	batfra_348	batfra_0
245	352	2	Provinciaal College van Politie, Financie en Algemeen Welzijn van Gelderland	0.0	0	0	batfra_352	batfra_0
246	353	2	Staten (Provisionele Representanten) van het Kwartier van de Veluwe	0.0	0	0	batfra_353	batfra_0
247	354	2	Staten (Provisionele Representanten) van het Kwartier van Nijmegen	0.0	0	0	batfra_354	batfra_0
248	355	2	Staten (Provisionele Representanten) van het Kwartier van Zutphen	0.0	0	0	batfra_355	batfra_0
249	359	2	Raad van Financiën in het Departement Gelderland	0.0	0	0	batfra_359	batfra_0
250	360	2	Departementaal Bestuur van Gelderland (1805-1807)	0.0	0	0	batfra_360	batfra_0
251	361	2	Departementaal Bestuur van Brabant (1805-1807)	0.0	0	0	batfra_361	batfra_0
252	362	2	Departementaal Bestuur van Friesland (1802-1805)	0.0	0	0	batfra_362	batfra_0
253	363	2	Departementaal Bestuur van Groningen (1805-1807)	0.0	0	0	batfra_363	batfra_0
254	364	2	Departementaal Bestuur van Holland (1805-1807)	0.0	0	0	batfra_364	batfra_0
255	365	2	Departementaal Bestuur van Overijssel (1805-1807)	0.0	0	0	batfra_365	batfra_0
256	366	2	Departementaal Bestuur van Utrecht (1805-1807)	0.0	0	0	batfra_366	batfra_0
257	367	2	Departementaal Bestuur van Zeeland (1805-1807)	0.0	0	0	batfra_367	batfra_0
258	381	2	Comité van Algemeen Welzijn, Waakzaamheid en Veiligheid van Zeeland	0.0	0	0	batfra_381	batfra_0
259	382	2	Representanten van het volk van Bataafs Brabant	0.0	0	0	batfra_382	batfra_0
260	383	2	Intermediair Administratief Bestuur van Gelderland	0.0	0	0	batfra_383	batfra_0
261	390	2	Intermediair Administratief Bestuur van Holland	0.0	0	0	batfra_390	batfra_0
262	392	2	Financiële Commissie van Holland (1799-1802)	0.0	0	0	batfra_392	batfra_0
263	393	2	Gedeputeerd Bestuur van Holland (1802-1805)	0.0	0	0	batfra_393	batfra_0
264	394	2	Raad van Financiën in het Departement Holland	0.0	0	0	batfra_394	batfra_0
265	395	2	Intermediair Administratief Bestuur van Bataafs Brabant	0.0	0	0	batfra_395	batfra_0
266	397	2	Raad van Financiën in het Departement Bataafs Brabant	0.0	0	0	batfra_397	batfra_0
267	398	2	Raad van Financiën in de Landschap Drenthe	0.0	0	0	batfra_398	batfra_0
268	400	2	Constitutiecommissie van 1796	0.0	0	0	batfra_400	batfra_0
269	404	2	Constitutiecommissie van 1797	0.0	0	0	batfra_404	batfra_0
270	405	2	Constitutiecommissie van 1798	0.0	0	0	batfra_405	batfra_0
271	406	2	Departement van Buitenlandse Zaken (Provisioneel Uitvoerend Bewind)	0.0	0	0	batfra_406	batfra_0
272	409	2	Intermediair Administratief Bestuur van Zeeland	0.0	0	0	batfra_409	batfra_0
273	410	2	Intermediair Administratief Bestuur van Friesland	0.0	0	0	batfra_410	batfra_0
274	411	2	Intermediair Administratief Bestuur van Utrecht	0.0	0	0	batfra_411	batfra_0
275	412	2	Intermediair Administratief Bestuur van Overijssel	0.0	0	0	batfra_412	batfra_0
276	413	2	Algemene Secretarie van het Uitvoerend Bewind	0.0	0	0	batfra_413	batfra_0
277	414	2	Intermediair Administratief Bestuur van Groningen	0.0	0	0	batfra_414	batfra_0
278	415	2	Nationale Kanselarij (Secretarie Eerste Kamer Vertegenwoordigend Lichaam)	0.0	0	0	batfra_415	batfra_0
279	418	2	Hoge Zeekrijgsraad (vanaf oktober 1799)	0.0	0	0	batfra_418	batfra_0
280	420	2	Hoge Militaire Vierschaar (1)	0.0	0	0	batfra_420	batfra_0
281	422	2	Raad van de Aziatische Bezittingen en Etablissementen (1800-1804)	0.0	0	0	batfra_422	batfra_0
282	423	2	Raad van de Aziatische Bezittingen en Etablissementen (1804-1806)	0.0	0	0	batfra_423	batfra_0
283	424	2	Raad van Financiën van Stad en Lande (1802-1805)	0.0	0	0	batfra_424	batfra_0
284	427	2	Kanselarij van het Wetgevend Lichaam	0.0	0	0	batfra_427	batfra_0
285	429	2	Landsadvocaten ter advies van het Staatsbewind	0.0	0	0	batfra_429	batfra_0
286	431	2	Raad van Financiën in het Departement Zeeland	0.0	0	0	batfra_431	batfra_0
287	432	2	Raad van Financiën in het Departement Utrecht	0.0	0	0	batfra_432	batfra_0
288	433	2	Raad van Financiën in het Departement Friesland	0.0	0	0	batfra_433	batfra_0
289	434	2	Raad van Financiën in het Departement Overijssel	0.0	0	0	batfra_434	batfra_0
290	435	2	Raad van Financiën in het Departement Groningen	0.0	0	0	batfra_435	batfra_0
291	436	2	Gouvernement-Generaal van Oost-Friesland	0.0	0	0	batfra_436	batfra_0
292	437	2	Koninklijke Courant	0.0	0	0	batfra_437	batfra_0
293	438	2	Landdrost en Kwartierdrosten van Zeeland (1809-1810)	0.0	0	0	batfra_438	batfra_0
294	439	2	Representanten van het Volk van Utrecht	0.0	0	0	batfra_439	batfra_0
295	441	2	Generaliteitsloterij	0.0	0	0	batfra_441	batfra_0
296	443	2	Intermediair Administratief Bestuur van het voormalige gewest Drenthe	0.0	0	0	batfra_443	batfra_0
297	444	2	College van Administratie van de Domeinen van Nassau	0.0	0	0	batfra_444	batfra_0
298	446	2	Provinciaal Bestuur van Friesland (1796-1797)	0.0	0	0	batfra_446	batfra_0
299	448	2	Préfecture Maritime de la Hollande	0.0	0	0	batfra_448	batfra_0
300	449	2	Commissarissen van het Uitvoerend Bewind bij de Departementale Besturen	0.0	0	0	batfra_449	batfra_0
301	450	2	Raad der Ministers van de Koning (Ministerraad)	0.0	0	0	batfra_450	batfra_0
302	451	2	Provinciaal Bestuur van Holland (maart 1796 - januari 1798)	0.0	0	0	batfra_451	batfra_0
303	452	2	Provinciaal Comité van Holland (april 1796 - februari 1798)	0.0	0	0	batfra_452	batfra_0
304	453	2	Intendance des Domaines de la Couronne en Hollande	0.0	0	0	batfra_453	batfra_0
305	454	2	Maître des Requêtes chargé du Service des Ponts et Chaussées dans les Départements de la Hollande	0.0	0	0	batfra_454	batfra_0
306	455	2	Commissarissen van de Generale Beleenbank	0.0	0	0	batfra_455	batfra_0
